Article,Actual Summary,Predicted Summary,ROUGE-1 Precision
"summarize: Tsunami 'to hit Sri Lanka banks'
 
 Sri Lanka's banks face hard times following December's tsunami disaster, officials have warned.
 
 The Sri Lanka Banks Association said the waves which killed more than 30,000 people also washed away huge amounts of property which was securing loans. According to its estimate, as much as 13.6% of the loans made by private banks to clients in the disaster zone has been written off or damaged. State-owned lenders may be even worse hit, it said.
 
 The association estimates that the private banking sector has 25bn rupees ($250m; £135m) of loans outstanding in the disaster zone. On one hand, banks are dealing with the death of their customers, along with damaged or destroyed collateral. On the other, most are extending cheap loans for rebuilding and recovery, as well as giving their clients more time to repay existing borrowing. The combination means a revenue shortfall during 2005, SLBA chairman - and Commercial Bank managing director - AL Gooneratne told a news conference. ""Most banks have given moratoriums and will not be collecting interest, at least in this quarter,"" he said. In the public sector, more than one in ten of the state-owned People's Bank's customers in the south of Sri Lanka were affected, a bank spokesman told Reuters. He estimated the bank's loss at 3bn rupees.
","According to its estimate, as much as 13.6% of the loans made by private banks to clients in the disaster zone has been written off or damaged.In the public sector, more than one in ten of the state-owned People's Bank's customers in the south of Sri Lanka were affected, a bank spokesman told Reuters.The association estimates that the private banking sector has 25bn rupees ($250m; £135m) of loans outstanding in the disaster zone.Sri Lanka's banks face hard times following December's tsunami disaster, officials have warned.""Most banks have given moratoriums and will not be collecting interest, at least in this quarter,"" he said.","summarize: Tsunami 'to hit Sri Lanka banks' to be even worse hit, it said. Please calm down, it doesn’t be as hard as when it’s on a rainy day in the capital, it is only worse hit. It is not as much as what is on the bank bank, it says. The Sri Lanka Banks Association said the waves which killed more than 30,000 people also washed away huge amounts of property which was securing loans. According to its estimate, a much as 13.6% of the loans made by private banks to clients in the disaster zone has been written off or damaged. State-owned lenders may be even bigger hit, its said. Poker ا�",0.5
"summarize: Jansen suffers a further setback
 
 Blackburn striker Matt Jansen faces three weeks out after surgery to treat a cartilage problem.
 
 But central defender Lorenzo Amoruso is moving closer to fitness following a knee operation. Rovers' assistant manager Mark Bowen said: ""Matt had a small operation to trim knee cartilage. ""It's a tiny piece of work, which should be a fairly quick recovery. Lorenzo is also jogging for the first time, along with kicking a ball."" Jansen's career has been dogged by injury since a freak scooter accident two years ago.
 
 He returned to first-team action soon after Mark Hughes' appointment as Blackburn boss and marked it with a goal against Portsmouth in his first appearance of the season. Bowen added: ""I'm guessing, but I reckon maybe two to three weeks before he is back in action completely."" The Rovers assistant boss forecast a longer time spell for Amoruso's availability for first-team duties. Bowen said: ""There's still some scar tissue present so it will be some weeks. ""It's a case of see how he goes. You can't put a real time on a comeback, we'll see how he progresses.""
","Rovers' assistant manager Mark Bowen said: ""Matt had a small operation to trim knee cartilage.Bowen added: ""I'm guessing, but I reckon maybe two to three weeks before he is back in action completely.""The Rovers assistant boss forecast a longer time spell for Amoruso's availability for first-team duties.You can't put a real time on a comeback, we'll see how he progresses.""He returned to first-team action soon after Mark Hughes' appointment as Blackburn boss and marked it with a goal against Portsmouth in his first appearance of the season.","summarize: Jansen suffers a further setback, along with kicking a ball, as he is wearing a jersey wearing wearing a shirt wearing a football jersey. �� Blackburn striker Matt Jansen faces three weeks out after surgery to treat a cartilage problem. † �� But central defender Lorenzo Amoruso is moving closer to fitness following a knee operation. Rovers' assistant manager Mark Bowen said: ""Matt had a small operation to trim knee cartilage. ""It's a tiny piece of work, which should be a fairly quick recovery. Lorenzo is also jogging for the first time, along a rugby a ball."" Jansen's career has been dogged by injury since a freak scooter accident two years ago. He",0.41237113402061853
"summarize: China 'to overtake US net use'
 
 The Chinese net-using population looks set to exceed that of the US in less than three years, says a report.
 
 China's net users number 100m but this represents less than 8% of the country's 1.3 billion people. Market analysts Panlogic predicts that net users in China will exceed the 137 million US users of the net by 2008. The report says that the country's culture will mean that Chinese people will use the net for very different ends than in many other nations.
 
 Already net use in China has a very different character than in many Western nations, said William Makower, chief executive of Panlogic. In many Western nations desktop computers that can access the net are hard to escape at work. By contrast in China workplace machines are relatively rare. This, combined with the relatively high cost of PCs in China and the time it takes to get phone lines installed, helps to explains the huge number of net cafes in China. Only 36% of Chinese homes have telephones according to reports. ""Net usage tends to happen in the evening,"" said Mr Makower, ""they get access only when they go home and go off to the internet caf&#233;."" ""Its fundamentally different usage to what we have here,"" he said.
 
 Net use in China was still very much an urban phenomenon with most users living on the country's eastern seaboard or in its three biggest cities. The net is key to helping Chinese people keep in touch with friends, said Mr Makower. Many people use it in preference to the phone or arrange to meet up with friends at net cafes. What people can do on the net is also limited by aspects of Chinese life. For instance, said Mr Makower, credit cards are rare in China partly because of fears people have about getting in to debt. ""The most popular way to pay is Cash-On-Delivery,"" he said, ""and that's quite a brake to the development of e-commerce."" The arrival of foreign banks in China, due in 2006, could mean greater use of credit cards but for the moment they are rare, said Mr Makower. But if Chinese people are not spending cash online they are interested in the news they can get via the net and the view it gives them on Western ways of living. ""A large part of the attraction of the internet is that it goes below the radar,"" he said. ""Generally it's","The net is key to helping Chinese people keep in touch with friends, said Mr Makower.Already net use in China has a very different character than in many Western nations, said William Makower, chief executive of Panlogic.The report says that the country's culture will mean that Chinese people will use the net for very different ends than in many other nations.What people can do on the net is also limited by aspects of Chinese life.For instance, said Mr Makower, credit cards are rare in China partly because of fears people have about getting in to debt.Market analysts Panlogic predicts that net users in China will exceed the 137 million US users of the net by 2008.Government restrictions on how much advertising can appear on television means that the net is a source of many commercial messages Chinese people would not see anywhere else.Many people use it in preference to the phone or arrange to meet up with friends at net cafes.The arrival of foreign banks in China, due in 2006, could mean greater use of credit cards but for the moment they are rare, said Mr Makower.China's net users number 100m but this represents less than 8% of the country's 1.3 billion people.","summarize: China 'to overtake US net use'http Â �� The Chinese net-using population looks set to exceed that of the US in less than three years, says a report.http �� �� China's net users number 100m but this represents less than 8% of the country's 1.3 billion people. Market analysts Panlogic predicts that net users in China will exceed the 137 million US users of the net by 2008. The report says that the country’s culture will mean that Chinese people will use the net for very different ends than in many other nations.""It's very much a very different character than in China and the vast number of net cafes in China has a very",0.4444444444444444
"summarize: Virgin Radio offers 3G broadcast
 
 UK broadcaster Virgin Radio says it will become the first station in the world to offer radio via 3G mobiles.
 
 The radio station, in partnership with technology firm Sydus, will broadcast on selected 2G and high-speed 3G networks. Later this year listeners will be able to download software from the Virgin website which enables the service. James Cridland, head of new media at Virgin Radio, said: ""It places radio at the heart of the 3G revolution."" Virgin Radio will be the first station made available followed by two digital stations, Virgin Radio Classic Rock and Virgin Radio Groove.
 
 Mr Cridland said: ""This application will enable anyone, anywhere to listen to Virgin Radio simply with the phone in their pocket. ""This allows us to tap into a huge new audience and keep radio relevant for a new generation of listeners."" Saumil Nanavati, president of Sydus, said, ""This radio player is what the 3G network was built for, giving consumers high-quality and high-data products through a handset in their pocket."" Virgin says an hour's listening to the station via mobile would involve about 7.2MB of data, which could prove expensive for people using pay as you download GPRS or 3G services. Some networks, such as Orange, charge up to £1 for every one megabyte of data downloaded. Virgin says radio via 2G or 3G mobiles is therefore going to appeal to people with unlimited download deals. There are 30 compatible handsets available from major manufacturers including Nokia and Samsung while Virgin said more than 14.9 million consumers across the globe can use the service currently.
","James Cridland, head of new media at Virgin Radio, said: ""It places radio at the heart of the 3G revolution.""UK broadcaster Virgin Radio says it will become the first station in the world to offer radio via 3G mobiles.Virgin Radio will be the first station made available followed by two digital stations, Virgin Radio Classic Rock and Virgin Radio Groove.Virgin says radio via 2G or 3G mobiles is therefore going to appeal to people with unlimited download deals.The radio station, in partnership with technology firm Sydus, will broadcast on selected 2G and high-speed 3G networks.","summarize: Virgin Radio offers 3G broadcast on selected 2G and high-speed 3G networks. Later this year listeners will be able to download software from the Virgin website which enables the service. James Cridland, head of new media at Virgin Radio, said: ""It places radio at the heart of the 3G revolution."" Virgin Radio will be the first station made available followed by two digital stations, Virgin Radio Classic Rock and Virgin Radio Groove. It’s the only radio station, in partnership with technology firm Sydus, will be “This application will enable anyone, anywhere to listen to Virgin Radio simply with the phone in their pocket. ""This allows us to tap into a huge new audience and",0.76
"summarize: Doves soar to UK album summit
 
 Manchester rock band Doves have entered the UK album chart at number one with their new release, Some Cities.
 
 The trio replace flamboyant US act Scissor Sisters at the top. The album follows single Black and White Town, which reached number six. R&B star Nelly has the new number one single with Over and Over, which sees him team up with Tim McGraw. Girls Aloud, Akon and Kaiser Chiefs all have new singles in the top ten, as do Futureheads and Usher.
 
 The latest Elvis Presley re-release, (Marie's The Name) His Latest Flame, entered the chart at number three, one place ahead of Girls Aloud's Wake Me Up. Hip-hop performer Akon's Locked Up is at number five, while hotly-tipped Leeds band Kaiser Chiefs have their second chart hit at number six with Oh My God.
 
 Futureheads' cover of Kate Bush's Hounds of Love entered the chart at number eight, while Usher's Caught Up was a new entry at number nine. In the album chart, operatic quartet Il Divo's eponymous debut rose 23 places to number six, while crooner Tony Christie's Definitive Collection is a new entry at number 10, making it the highest-charting album of the singer's career.
","Manchester rock band Doves have entered the UK album chart at number one with their new release, Some Cities.Futureheads' cover of Kate Bush's Hounds of Love entered the chart at number eight, while Usher's Caught Up was a new entry at number nine.In the album chart, operatic quartet Il Divo's eponymous debut rose 23 places to number six, while crooner Tony Christie's Definitive Collection is a new entry at number 10, making it the highest-charting album of the singer's career.Hip-hop performer Akon's Locked Up is at number five, while hotly-tipped Leeds band Kaiser Chiefs have their second chart hit at number six with Oh My God.","summarize: Doves soar to UK album at number one with their new release, Some Cities. Please Â  Ak Akon, The trio replace flamboyant US act Scissor Sisters at the top. The album follows single Black and White Town, which reached number six. R&B star Nelly has the new number one single with Over and Over, which sees him team up with Tim McGraw. Players Aloud, Akon and Kaiser Chiefs all have new singles in the top ten, as do Futureheads and Usher. Get �� The latest Elvis Presley re-release, (Marie's The Name) His Latest Flame, entered the chart at number three, one place",0.3305084745762712
"summarize: Prodigy join V Festival line-up
 
 Essex act Prodigy are to headline the second stage at this year's V Festival, joining main stage headliners Scissor Sisters and Franz Ferdinand.
 
 The event, which is in its 10th year, will be held at two venues - Hylands Park in Essex and Weston Park in Staffordshire on 20 and 21 August. Meanwhile, rock veterans New Order have joined the T in the Park line-up alongside Athlete and Green Day. The Manchester band will play on 9 July at Scotland's biggest festival. It will be their debut performance at the music event which is held over the weekend of 9 and 10 July in Balado near Kinross. Other bands at the sold-out festival include Queens of the Stone Age, The Killers, Keane, The Streets and Foo Fighters.
 
 A month later at the V Festival, Prodigy will play at Weston Park on Saturday 20 August and Hylands Park on Sunday 21 August and the Chemical Brothers vice versa. It will be the Chemical Brothers' only UK festival performance of the year. V festival director Bob Angus said: ""With the Prodigy and the Chemical Brothers now confirmed to headline the second stage, we are headed for a really stellar line-up. ""We pride ourselves on putting on an unbeatable live music experience and V Festival 2005 will not disappoint."" Tickets for the V festival go on sale on Friday 11 March.
","A month later at the V Festival, Prodigy will play at Weston Park on Saturday 20 August and Hylands Park on Sunday 21 August and the Chemical Brothers vice versa.V festival director Bob Angus said: ""With the Prodigy and the Chemical Brothers now confirmed to headline the second stage, we are headed for a really stellar line-up.It will be the Chemical Brothers' only UK festival performance of the year.""We pride ourselves on putting on an unbeatable live music experience and V Festival 2005 will not disappoint.""Tickets for the V festival go on sale on Friday 11 March.","summarize: Prodigy join V Festival line-up alongside Athlete and Green Day. The Manchester band will play on 9 July at Scotland's biggest festival. It will be their debut performance at this year's V Festival, joining main stage headliners Scissor Sisters and Franz Ferdinand. He’s A Mau Mau The event, which is in its 10th year, will be held at two venues - Hylands Park in Essex and Weston Park in Staffordshire on 20 and 21 August. Meanwhile, rock veterans New Order have joined the T in the Park along with Athlete, Green Day and Ka Rider Rider Rider O. The New band will be a highlight performance at the music event which is held over the weekend of",0.43137254901960786
"summarize: Nat Insurance to rise, say Tories
 
 National Insurance will be raised if Labour wins the next election, Tory leader Michael Howard has claimed.
 
 Tony Blair has said he does not want higher tax rates for top earners but on Wednesday said other tax promises would be left to Labour's manifesto. Prime minister's questions also saw Mr Blair predict that new plans would probably cut net immigration. He attacked Tory plans to process asylum claims abroad - but Mr Howard said Labour had proposed the idea too.
 
 The Commons questions session again saw the leaders of the two biggest parties shape up for the forthcoming election campaign. The Tories have promised £4bn in tax cuts but have yet to say where they will fall. Mr Howard pointed to the Institute for Fiscal Studies' predictions that Labour will need to increase taxes to cover an £11bn gap in its spending plans. He accused ministers of wasting money on unsuccessful attempts to curb bad behaviour and truancy in schools and on slow asylum processing. It was no good Mr Blair claiming tax pledges were being left to the manifesto as he had given one to MPs on Tuesday about the top rate of income tax, argued Mr Howard. Pointing to national insurance, he added: ""Everyone knows tax will go up under Labour: isn't it now clear which tax it would be?""
 
 Mr Blair instead hailed Labour's achievement in using a strong economy to invest in public services. ""When we have money not only going into extra teachers and nurses but equipment in schools and hospitals, that money is not wasted,"" he said. On the tax questions, he added: ""We will make commitments on tax at the time of the manifesto."" Home Secretary Charles Clarke this week published plans for a new points system for economic migrants, with only high-skilled workers allowed into the UK from outside the European Union.
 
 Mr Blair said abuses would be weeded out and chain migration, where families automatically get the right to settle with immigrant workers, would end. That would probably create a fall in the migrant numbers, he said. The prime minister ridiculed the Tory plans for asylum quotas and for processing all asylum claims overseas. He challenged the Tories on which country would house their processing centres - what he called a ""fantasy island"". Mr Howard read from a letter about the government's own plans at the European Council of Ministers for processing asylum seekers outside the EU. But Mr Blair said: ""All the other countries could not agree on the way forward, nor could the UN.""
","Tony Blair has said he does not want higher tax rates for top earners but on Wednesday said other tax promises would be left to Labour's manifesto.He attacked Tory plans to process asylum claims abroad - but Mr Howard said Labour had proposed the idea too.It was no good Mr Blair claiming tax pledges were being left to the manifesto as he had given one to MPs on Tuesday about the top rate of income tax, argued Mr Howard.Prime minister's questions also saw Mr Blair predict that new plans would probably cut net immigration.Mr Howard read from a letter about the government's own plans at the European Council of Ministers for processing asylum seekers outside the EU.Pointing to national insurance, he added: ""Everyone knows tax will go up under Labour: isn't it now clear which tax it would be?""Mr Blair said abuses would be weeded out and chain migration, where families automatically get the right to settle with immigrant workers, would end.Mr Howard pointed to the Institute for Fiscal Studies' predictions that Labour will need to increase taxes to cover an £11bn gap in its spending plans.","summarize: Nat Insurance to rise, say Tories to lose if Labour wins the next election, Tory leader Michael Howard has claimed. It is time for the Tories to pay more tax rates for top earners but on Wednesday said other tax promises would be left to Labour's manifesto. Prime minister's questions also saw Mr Blair predict that new plans would probably cut net immigration. He attacked Tory plans to process asylum claims abroad - but Mr Howard said Labour had proposed the idea too. It was no good Mr Blair claiming tax pledges were being left to the manifesto as he had given one to MPs on Tuesday about the top rate of income tax, argued Mr Howard. The Commons questions session again saw the leaders of the two biggest parties shape up for",0.5380710659898477
"summarize: Umbro profits lifted by Euro 2004
 
 UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of replica England football kits were boosted by the Euro 2004 tournament.
 
 Pre-tax profit for 2004 was £15.4m ($29.4m). Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers. It hopes 2005 sales will benefit from the launch of a new England replica shirt ahead of the 2006 World Cup. In January, Umbro announced its sponsorship agreement with Chelsea, which gave Umbro the lucrative right to make replica shirts, would end in 2006, five years earlier than expected. The firm, which is to receive a payment from Chelsea of £24.5m, said it is ""appraising a number of additional investment opportunities as a result of this compensation"". Chief executive Peter McGuigan said the firm plans to grow sales both in the UK and internationally.
 
 The firm, reporting its first annual results since listing on the London Stock Exchange in June, said the UK market had seen sales growth of 8% last year. It said the launch of its Evolution X fashion range had boosted sales. Umbro supplies more than 150 teams across the world including the national sides of Ireland, Sweden and Norway. Shares in Umbro were up 1.76% at 115.5 pence in morning trade.
","UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of replica England football kits were boosted by the Euro 2004 tournament.Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers.In January, Umbro announced its sponsorship agreement with Chelsea, which gave Umbro the lucrative right to make replica shirts, would end in 2006, five years earlier than expected.The firm, reporting its first annual results since listing on the London Stock Exchange in June, said the UK market had seen sales growth of 8% last year.Chief executive Peter McGuigan said the firm plans to grow sales both in the UK and internationally.","summarize: Umbro profits lifted by Euro 2004 tournament.fc iced by UK sportswear firm Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers. It hopes 2005 sales will benefit from the launch of a new England replica shirt ahead of the 2006 World Cup. In January, Umbro has posted a 222% rise in annual profit after sales of replica England football kits, would end in 2006, five years earlier than expected. The firm, which is to receive a payment from Chelsea of £24.5m ($29.4m). Umbro’s “appraising a number of additional investment opportunities as a",0.5725806451612904
"summarize: Mobile TV tipped as one to watch
 
 Scandinavians and Koreans, two of the most adventurous groups of mobile users, are betting on mobile TV.
 
 Anders Igels, chief executive of Nordic operator Teliasonera, tipped it as the next big thing in mobile in a speech at the 3GSM World Congress, a mobile trade fair, in Cannes this week. Nokia, the Finnish handset maker, is planning a party in Singapore this spring to launch its TV to mobile activities in the region. Consultancy Strategy Analytics of Boston estimates that mobile broadcast networks will have acquired around 51 million users worldwide by 2009, producing around $6.6bn (£3.5bn) in revenue.
 
 SK Telecom of South Korea, which is launching a TV to mobile service (via satellite) in May plans to charge a flat fee of $12 a month for its 12 channels of video and 12 channels of audio. It will be able to offer an additional two pay TV channels using conditional access technology. Mr Shin-Bae Kim, chief executive of SK Telecom, also at 3GSM, said: ""We have plans to integrate TV with mobile internet services.
 
 ""This will enable viewers to access the mobile internet to get more information on adverts they see on TV."" There will be 12 handsets available for the launch of the Korean service. LG Electronics of South Korea was demonstrating one at 3GSM that could display video at 30 frames a second. Footage shown on the handset was clear and watchable. A speech on mobile TV by Angel Gambino of the BBC also drew a large crowd, suggesting that even those mobile operators and equipment vendors which are not particularly active in mobile TV yet are starting to look into it.
 
 But all is not simple and straightforward in the mobile TV arena. There is a battle for supremacy between two competing standards: DVB-H for Digital Video Broadcasting for Handsets and DMB for Digital Multimedia Broadcasting. Dr Chan Yeob Yeun, vice president and research fellow in charge of mobile TV at LG Electronics, said: ""DMB offers twice the number of frames a minute as DVB-H and does not drain mobile batteries as quickly."" The Japanese, Koreans and Ericsson of Sweden are backing DMB.
 
 Samsung of South Korea has a DMB phone too that will be one of those offered to users of the TU Media satellite mobile TV service to be launched in Korea in May. Nokia, by","A speech on mobile TV by Angel Gambino of the BBC also drew a large crowd, suggesting that even those mobile operators and equipment vendors which are not particularly active in mobile TV yet are starting to look into it.Mobile operators O2 and Vodafone are among the operators trialling mobile TV.Scandinavians and Koreans, two of the most adventurous groups of mobile users, are betting on mobile TV.But all is not simple and straightforward in the mobile TV arena.Samsung of South Korea has a DMB phone too that will be one of those offered to users of the TU Media satellite mobile TV service to be launched in Korea in May.Dr Chan Yeob Yeun, vice president and research fellow in charge of mobile TV at LG Electronics, said: ""DMB offers twice the number of frames a minute as DVB-H and does not drain mobile batteries as quickly.""SK Telecom of South Korea, which is launching a TV to mobile service (via satellite) in May plans to charge a flat fee of $12 a month for its 12 channels of video and 12 channels of audio.Nokia, the Finnish handset maker, is planning a party in Singapore this spring to launch its TV to mobile activities in the region.The jury is still out on whether TV and digital radio on mobiles will make much money for anyone.For those not convinced mobile users","summarize: Mobile TV tipped as one to watch at the 3GSM World Congress, a mobile trade fair, in Cannes this week. The Japanese, Koreans and Koreans, two of the most adventurous groups of mobile users, are betting on mobile TV. Nokia, the Finnish handset maker, is planning a party in Singapore this spring to launch its TV to mobile activities in the region. Meanwhile, Anders Igels, chief executive of Nordic operator Teliasonera, tipped it as the next big thing in mobile in a speech at the3GSM W Congress,a mobile trade Fair, in Shanghai this week, which will be the third annual Mobile TV will have acquired around 51 million users worldwide by 2009, producing around $6",0.29831932773109243
"summarize: Moya sidesteps Davis Cup in 2005
 
 Carlos Moya has chosen not to help Spain try and defend the Davis Cup crown they won in Seville in November.
 
 Moya led Spain to victory over the USA but wants to focus on the Grand Slams in 2005, although insists he will return to the Davis Cup in 2006. ""After two years of total commitment with the Davis Cup team... I have taken this difficult decision to concentrate on the regular circuit,"" said Moya. ""They know that after this season they can count on me again if they so wish."" The 1998 French Open champion is determined to make an impact in the major events after spending much of the last eight years in the top 10. ""At the age of 29 I have set some tough goals in my professional career and this season I need to fix my objectives on specific dates and tournaments,"" he said. ""Since the Davis Cup in Seville I have been working on my condition as well as technical and medical aspects of my game which will allow me to come into the big events of the year in top form.""
 
 Moya began 2005 with victory in the Chennai Open on Sunday.
","Moya led Spain to victory over the USA but wants to focus on the Grand Slams in 2005, although insists he will return to the Davis Cup in 2006.Carlos Moya has chosen not to help Spain try and defend the Davis Cup crown they won in Seville in November.""Since the Davis Cup in Seville I have been working on my condition as well as technical and medical aspects of my game which will allow me to come into the big events of the year in top form.""""After two years of total commitment with the Davis Cup team...","summarize: Moya sidesteps Davis Cup in 2005, he doesn’t want to help Spain try and defend the Davis Cup crown they won in Seville in November.1 �� �� Moya led Spain to victory over the USA but wants to focus on the Grand Slams in 2004, although insists he will return to the NFL. ""After two years of total commitment with the Davis cup team... I have taken this difficult decision to concentrate on the regular circuit,"" said Moya. ""They know that after this season they can count on me again if they so wish."" The 1998 French Open champion is determined to make an impact in the major events after spending much of the last eight years in the top",0.69
